frame_id,timestamp,segment_id,r_cam,r_lidar,cam_health,lidar_health,w_cam,w_lidar
59,3638.562287904322,camera_darkness_tunnel,0.01,0.2966,FAILED,SEVERELY_DEGRADED,0.0,1.0
60,3638.612287905067,high_motion_maneuver,0.01,0.3229,FAILED,SEVERELY_DEGRADED,0.0,1.0
61,3638.662287905812,high_motion_maneuver,0.01,0.2572,FAILED,SEVERELY_DEGRADED,0.0,1.0
62,3638.712287906557,high_motion_maneuver,0.01,0.2674,FAILED,SEVERELY_DEGRADED,0.0,1.0
63,3638.7622879073024,high_motion_maneuver,0.01,0.1415,FAILED,FAILED,0.0,1.0
64,3638.812287908048,high_motion_maneuver,0.01,0.2208,FAILED,SEVERELY_DEGRADED,0.0,1.0
65,3638.862287908793,dual_degradation_recovery,0.01,0.1011,FAILED,FAILED,0.0,1.0
66,3638.9122879095376,dual_degradation_recovery,0.01,0.2186,FAILED,SEVERELY_DEGRADED,0.0,1.0
67,3638.9622879102826,dual_degradation_recovery,0.01,0.2686,FAILED,SEVERELY_DEGRADED,0.0,1.0
68,3639.012287911028,dual_degradation_recovery,0.01,0.4877,FAILED,DEGRADED,0.0,1.0
69,3639.0622879117727,dual_degradation_recovery,0.01,0.3077,FAILED,SEVERELY_DEGRADED,0.0,1.0
