frame_idx,latency_ms,single_frame_count,temporal_no_imu_count,temporal_with_imu_count,persistence_no_imu,persistence_with_imu,pos_no_x,pos_no_y,pos_with_x,pos_with_y
55,120.2,7,11,13,0.471,0.438,-5.760162855587905,-4.798488822124878,-6.089538043615042,-4.794055672760029
56,118.27,1,10,12,0.395,0.374,-5.910986547811242,-4.809107038434216,-6.088189367675697,-4.806705191338001
57,126.02,6,9,11,0.415,0.378,-5.910986547811242,-4.809107038434216,-6.08921554930632,-4.806657359970219
58,123.44,1,9,11,0.395,0.364,-6.002412586335434,-4.805640423290396,-6.098534490756988,-4.804304805985911
59,124.03,6,9,11,0.489,0.442,-6.002412586335434,-4.805640423290396,-6.099271639336464,-4.804272523842395
60,133.25,1,8,10,0.409,0.374,-6.047972982379318,-4.777369563843149,-6.100256240068879,-4.77662218867955
61,134.46,7,8,8,0.473,0.403,-6.047972982379318,-4.777369563843149,-6.1006958413486245,-4.7766025527722045
62,134.31,0,8,8,0.437,0.39,-6.047972982379318,-4.777369563843149,-6.101023069208272,-4.776587643630365
63,143.39,7,10,10,0.549,0.52,-6.047972982379318,-4.777369563843149,-6.101023069208272,-4.776587643630365
64,136.51,1,8,8,0.417,0.389,-6.07491428738036,-4.798022176844997,-6.098353293184531,-4.797676702718538
65,140.56,6,7,7,0.447,0.42,-6.07491428738036,-4.798022176844997,-6.098353293184531,-4.797676702718538
66,136.09,1,7,7,0.435,0.411,-6.101113083049102,-4.779857565525769,-6.11308292227073,-4.779681138684823
67,132.76,6,9,9,0.495,0.481,-6.101113083049102,-4.779857565525769,-6.11308292227073,-4.779681138684823
68,140.93,1,8,8,0.414,0.401,-6.108129902210567,-4.7746573776046795,-6.114465431032088,-4.774563996456027
69,125.3,6,8,8,0.437,0.419,-6.108129902210567,-4.7746573776046795,-6.114465431032088,-4.774563996456027
