condition,frame_idx,w_cam,w_lidar,r_cam,r_lidar
Camera_Degraded,14,0.0,1.0,0.01,0.3068376727625607
Camera_Degraded,15,0.0,1.0,0.009999999999999998,0.2284912740430788
Camera_Degraded,16,0.0,1.0,0.01,0.24984337108506852
Camera_Degraded,17,0.0,1.0,0.01,0.2539286537762524
Camera_Degraded,18,0.0,1.0,0.01,0.2922665881249701
Camera_Degraded,19,0.0,1.0,0.009999999999999998,0.23133925885905052
Camera_Degraded,20,0.0,1.0,0.01,0.26006724042760093
Camera_Degraded,21,0.0,1.0,0.009999999999999998,0.2593900613342389
Camera_Degraded,22,0.0,1.0,0.01,0.2266849941676083
Camera_Degraded,23,0.0,1.0,0.01,0.20870347903082248
Camera_Degraded,24,0.0,1.0,0.01,0.30710188387109266
Camera_Degraded,25,0.0,1.0,0.009999999999999998,0.2632793373276385
Camera_Degraded,26,0.0,1.0,0.01,0.25547803400991026
Camera_Degraded,27,0.0,1.0,0.009999999999999998,0.207356915718938
Camera_Degraded,28,0.0,1.0,0.01,0.23802909965543154
Camera_Degraded,29,0.0,1.0,0.009999999999999998,0.2557422265238747
Camera_Degraded,30,0.0,1.0,0.01,0.23213511140470422
Camera_Degraded,31,0.0,1.0,0.009999999999999998,0.23527600210661942
Camera_Degraded,32,0.0,1.0,0.01,0.24771655991699926
Camera_Degraded,33,0.0,1.0,0.009999999999999998,0.20244611619536265
Camera_Degraded,34,0.0,1.0,0.01,0.2904924603886192
Camera_Degraded,35,0.0,1.0,0.009999999999999998,0.21926755491141803
Camera_Degraded,36,0.0,1.0,0.01,0.3423196184295134
Camera_Degraded,37,0.0,1.0,0.01,0.3024956435259547
Camera_Degraded,38,0.0,1.0,0.01,0.296253630735189
Camera_Degraded,39,0.0,1.0,0.009999999999999998,0.257779100675532
Camera_Degraded,40,0.0,1.0,0.01,0.18441250788574037
Camera_Degraded,41,0.0,1.0,0.01,0.3191699910423941
Camera_Degraded,42,0.0,1.0,0.01,0.2705108007737559
Camera_Degraded,43,0.0,1.0,0.01,0.29629761306246294
Camera_Degraded,44,0.0,1.0,0.01,0.23580187140641784
Camera_Degraded,45,0.0,1.0,0.009999999999999998,0.2650400157610806
Camera_Degraded,46,0.0,1.0,0.01,0.24515255982829276
Camera_Degraded,47,0.0,1.0,0.009999999999999998,0.26159757181646065
Camera_Degraded,48,0.0,1.0,0.01,0.09940615359291269
Camera_Degraded,49,0.0,1.0,0.01,0.2469831819491096
Camera_Degraded,50,0.0,1.0,0.01,0.19911929492221184
Camera_Degraded,51,0.0,1.0,0.01,0.2396004938174528
Camera_Degraded,52,0.0,1.0,0.01,0.27040636917908084
Camera_Degraded,53,0.0,1.0,0.01,0.2891509629555407
Camera_Degraded,54,0.0,1.0,0.01,0.10169291420928309
Camera_Degraded,55,0.0,1.0,0.01,0.26678322290389617
Camera_Degraded,56,0.0,1.0,0.01,0.10168328041199803
Camera_Degraded,57,0.0,1.0,0.01,0.27761237026820523
Camera_Degraded,58,0.0,1.0,0.01,0.06884812873172955
Camera_Degraded,59,0.0,1.0,0.01,0.2512342583377386
Camera_Degraded,60,0.0,1.0,0.01,0.09591950379667247
Camera_Degraded,61,0.0,1.0,0.01,0.2686958145268715
Camera_Degraded,63,0.0,1.0,0.01,0.2415609777609741
Camera_Degraded,64,0.0,1.0,0.01,0.07980019174560649
Camera_Degraded,65,0.0,1.0,0.01,0.2117563404799526
Camera_Degraded,66,0.0,1.0,0.01,0.07427736892564152
Camera_Degraded,67,0.0,1.0,0.01,0.3124911616532215
Camera_Degraded,68,0.0,1.0,0.01,0.07972166112167534
Camera_Degraded,69,0.0,1.0,0.01,0.3081072690018337
LiDAR_Degraded,1,0.0,1.0,0.01,0.05655983185112176
LiDAR_Degraded,2,0.0,1.0,0.01,0.08691135369918818
LiDAR_Degraded,8,0.0,1.0,0.01,0.07112029263740573
LiDAR_Degraded,10,0.0,1.0,0.01,0.05871367764652188
LiDAR_Degraded,12,0.0,1.0,0.01,0.0573803069608386
LiDAR_Degraded,14,0.0,1.0,0.01,0.08274534690414428
LiDAR_Degraded,20,0.0,1.0,0.01,0.07206593290456481
LiDAR_Degraded,43,0.0,1.0,0.01,0.06780088102414117
LiDAR_Degraded,44,0.0,1.0,0.01,0.05939720060051393
LiDAR_Degraded,45,0.0,1.0,0.01,0.060416041434852456
LiDAR_Degraded,53,0.0,1.0,0.01,0.05157789432341695
