frame_id,timestamp,segment_id,description,blur_kernel,illumination_factor,lidar_dropout_ratio,speed_mps,accel_x_mps2,yaw_rate_dps,r_cam,r_lidar,w_cam,w_lidar,cam_health,lidar_health,confidence,cam_raw_conf,lidar_raw_conf,cross_modal_consistency,track_count,temporal_persistence,cam_detections,lidar_clusters,fused_detections,gt_targets,precision,recall,f1_score,loc_error_m,latency_ms,fps
17,3636.4622878730297,camera_blur_ramp,Progressive camera motion blur and mild underexposure,7,0.8666666666666667,0.0,2.38,3.63,12.11,0.01,0.2523,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2523,0.5017,0.3281,0.5,16,0.449,1,9,9,9,1.0,1.0,1.0,0.0033,393.39,2.5
18,3636.512287873775,camera_blur_ramp,Progressive camera motion blur and mild underexposure,9,0.8,0.0,2.54,3.24,13.44,0.01,0.2923,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2923,0.0,0.273,0.5,16,0.436,0,5,5,5,1.0,1.0,1.0,0.0,267.79,3.7
19,3636.56228787452,camera_blur_ramp,Progressive camera motion blur and mild underexposure,11,0.7333333333333334,0.0,2.68,2.83,13.81,0.01,0.2313,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2313,0.0,0.3059,0.5,19,0.447,0,13,13,13,1.0,1.0,1.0,0.0,284.83,3.5
20,3636.612287875265,camera_blur_ramp,Progressive camera motion blur and mild underexposure,13,0.6666666666666667,0.0,2.81,2.63,14.78,0.01,0.266,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.266,0.0,0.2633,0.5,20,0.442,0,6,6,6,1.0,1.0,1.0,0.0,319.84,3.1
21,3636.66228787601,camera_blur_ramp,Progressive camera motion blur and mild underexposure,15,0.6000000000000001,0.0,2.93,2.43,15.09,0.01,0.2335,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2335,0.0,0.2709,0.5,21,0.433,0,9,9,9,1.0,1.0,1.0,0.0019,272.63,3.7
22,3636.712287876755,camera_blur_ramp,Progressive camera motion blur and mild underexposure,17,0.5333333333333333,0.0,3.06,2.35,15.96,0.01,0.223,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.223,0.0,0.1995,0.5,21,0.415,0,8,8,8,1.0,1.0,1.0,0.0,291.9,3.4
23,3636.7622878775,camera_blur_ramp,Progressive camera motion blur and mild underexposure,19,0.4666666666666667,0.0,3.17,2.24,16.25,0.01,0.2087,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2087,0.0,0.2293,0.5,18,0.437,0,8,8,9,1.0,0.8889,0.9412,0.0854,303.27,3.3
24,3636.812287878245,camera_blur_ramp,Progressive camera motion blur and mild underexposure,21,0.4,0.0,3.29,2.21,17.06,0.01,0.3016,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.3016,0.0,0.2749,0.5,17,0.456,0,6,6,6,1.0,1.0,1.0,0.0214,294.76,3.4
25,3636.86228787899,camera_recovery,Camera recovery to nominal sharpness and lighting,19,0.45,0.0,3.4,2.13,17.36,0.01,0.2633,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2633,0.0,0.3769,0.5,16,0.456,0,10,10,10,1.0,1.0,1.0,0.0016,286.67,3.5
26,3636.9122878797352,camera_recovery,Camera recovery to nominal sharpness and lighting,17,0.5111111111111111,0.0,3.51,2.11,18.1,0.01,0.2555,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2555,0.0,0.3293,0.5,16,0.449,0,7,7,7,1.0,1.0,1.0,0.0104,283.32,3.5
27,3636.96228788048,camera_recovery,Camera recovery to nominal sharpness and lighting,15,0.5722222222222222,0.0,3.62,2.05,18.41,0.01,0.2074,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2074,0.0,0.2355,0.5,16,0.449,0,11,11,11,1.0,1.0,1.0,0.005,240.75,4.2
28,3637.012287881225,camera_recovery,Camera recovery to nominal sharpness and lighting,13,0.6333333333333333,0.0,3.73,2.03,19.1,0.01,0.238,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.238,0.0,0.22,0.5,18,0.473,0,8,8,8,1.0,1.0,1.0,0.0022,238.43,4.2
29,3637.0622878819695,camera_recovery,Camera recovery to nominal sharpness and lighting,11,0.6944444444444444,0.0,3.83,1.98,19.44,0.01,0.2557,0.0,1.0,FAILED,SEVERELY_DEGRADED,0.2557,0.0,0.3723,0.5,18,0.475,0,11,11,10,0.9091,1.0,0.9524,0.0082,203.64,4.9
